,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
238,didnt,752,0,,
239,circles,63,0,,
240,allegedly,693,0,,
241,network,828,0,,
242,provide,703,0,,
243,old,610,0,,
244,attacks,544,0,,
245,created,400,0,,
246,telecoms,194,0,,
247,friend,328,0,,
248,decision,770,0,,
249,call,537,0,,
250,conspiracy,627,0,,
251,phone,894,0,,
252,theft,546,0,,
253,document,436,0,,
254,applications,185,0,,
255,knew,493,0,,
256,today,477,0,,
257,doors,141,0,,
258,warrant,342,0,,
259,interest,537,0,,
260,get,1245,0,,
261,known,955,0,,
262,using,1108,0,,
263,release,914,0,,
264,election,935,0,,
265,violating,336,0,,
266,sources,1031,0,,
267,program,793,0,,
268,agent,1054,0,,
269,US authorities,71,0,,
270,concerns,694,0,,
271,spies,928,0,,
272,students,244,0,,
273,later,1123,0,,
274,record,390,0,,
275,officers,639,0,,
276,use,1537,0,,
277,messages,381,0,,
278,might,946,0,,
279,noted,388,0,,
280,never,1136,0,,
281,treaty,152,0,,
282,system,807,0,,
283,supply,160,0,,
284,human source,21,0,,
285,whether,1293,0,,
286,atomic,75,0,,
287,law,1800,0,,
288,likely,735,0,,
289,New York,868,0,,
290,tip,73,0,,
291,power,709,0,,
292,work,1437,0,,
293,others,595,0,,
294,secret United States,33,0,,
295,including,2028,0,,
296,political circles,21,0,,
297,global,715,0,,
298,previously,420,0,,
299,extensive,169,0,,
300,closure,79,0,,
301,mean,395,0,,
302,members,726,0,,
303,breach,321,0,,
304,decade,303,0,,
305,prisoner,179,0,,
306,week,1094,0,,
307,consulates,66,0,,
308,added,842,0,,
309,business,830,0,,
310,party,332,0,,
311,torture,319,0,,
312,encryption,310,0,,
313,meet,351,0,,
314,material,642,0,,
315,sentenced,495,0,,
316,top,889,0,,
317,Christine Fang,13,0,,
318,misuse,73,0,,
319,spokesman,389,0,,
320,kit,48,0,,
321,stated,296,0,,
322,student,213,0,,
323,ministry,274,0,,
324,detention,484,0,,
325,year old Australian,40,0,,
326,released,868,0,,
327,based,1050,0,,
328,host,126,0,,
329,currently,334,0,,
330,computer misuse,31,0,,
331,State Department,498,0,,
332,cases,678,0,,
333,spokesperson,188,0,,
334,vary,73,0,,
335,every,662,0,,
336,requests,329,0,,
337,Nancy Pelosi,32,0,,
338,face,655,0,,
339,left,599,0,,
340,leaks,349,0,,
341,international,755,0,,
342,intelligence community,486,0,,
343,delayed,45,0,,
344,criminal,745,0,,
345,law enforcement,477,0,,
346,records,419,0,,
347,password,248,0,,
348,intellectual property,336,0,,
349,interested,223,0,,
350,called,1399,0,,
351,name,649,0,,
352,communist,89,0,,
353,logs,107,0,,
354,collusion,146,0,,
355,long,1197,0,,
356,linked,320,0,,
357,without,1017,0,,
358,large,383,0,,
359,hacking tools,89,0,,
360,convicted,534,0,,
361,photo,128,0,,
362,history,838,0,,
363,G networks,190,0,,
364,make,1139,0,,
365,artificial intelligence,124,0,,
366,sensitive,701,0,,
367,home,675,0,,
368,employees,743,0,,
369,chief,642,0,,
370,procedures,70,0,,
371,claims,647,0,,
372,Carter Page,147,0,,
373,revealed,649,0,,
374,far,657,0,,
375,special,528,0,,
376,Intel Committee,14,0,,
377,indicted,256,0,,
378,matter,577,0,,
379,asked,913,0,,
380,offences,63,0,,
