,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
405,went ahead,3049,0,,
406,killed,16984,0,,
407,BEGIN VIDEO CLIP,1264,0,,
408,likely,14249,0,,
409,troops,10361,0,,
410,New York Times,6813,0,,
411,END VIDEO CLIP,1256,0,,
412,evidence,12686,0,,
413,commission,2384,0,,
414,founder,3446,0,,
415,something,17712,0,,
416,check,3686,0,,
417,water,7130,0,,
418,infections,3156,0,,
419,agreements,2258,0,,
420,comments,8638,0,,
421,old,22165,0,,
422,population,8681,0,,
423,make,34296,0,,
424,reporting,5248,0,,
425,receiving,1969,0,,
426,South Korea,5581,0,,
427,represent,2892,0,,
428,history,17982,0,,
429,children,15106,0,,
430,providers,815,0,,
431,toll,2846,0,,
432,Los Angeles,2615,0,,
433,relationship,7961,0,,
434,link,2112,0,,
435,permission,1674,0,,
436,humans,2805,0,,
437,enter,3375,0,,
438,audience,3487,0,,
439,growing,6303,0,,
440,shared,6159,0,,
441,product,1847,0,,
442,face,17885,0,,
443,job,8453,0,,
444,community,16015,0,,
445,republished,195,0,,
446,facial,823,0,,
447,politics,11986,0,,
448,levels,5944,0,,
449,good,20571,0,,
450,killing,8703,0,,
451,final,13611,0,,
452,page,4320,0,,
453,major,20984,0,,
454,birth,2066,0,,
455,promotional,187,0,,
456,course,12618,0,,
457,investigation,11073,0,,
458,opportunities,2112,0,,
459,example,9860,0,,
460,adviser,5686,0,,
461,book,9947,0,,
462,growth,2970,0,,
463,office,15525,0,,
464,died,10399,0,,
465,regional,5485,0,,
466,digital,2290,0,,
467,sent,9460,0,,
468,days,23598,0,,
469,interested,2975,0,,
470,sign,6736,0,,
471,top,15073,0,,
472,right wing,5815,0,,
473,case,21471,0,,
474,friend,5549,0,,
475,precautionary measure,2012,0,,
476,tools,2674,0,,
477,defender,3140,0,,
478,without,22871,0,,
479,society,6316,0,,
480,minutes,4466,0,,
481,therapy,645,0,,
482,issues,12347,0,,
483,races,4061,0,,
484,track,3962,0,,
485,several,14413,0,,
486,created,8298,0,,
487,mental health,1021,0,,
488,corporate,3703,0,,
489,West Indies,1973,0,,
490,World Cup,3744,0,,
491,provide,7394,0,,
492,asked,13993,0,,
493,approval rating,373,0,,
494,liberal,6561,0,,
495,Europa League,2004,0,,
496,available,4872,0,,
497,change,16912,0,,
498,ship,4272,0,,
499,symptoms,4934,0,,
500,protests,7885,0,,
501,gas,5479,0,,
502,comment,5891,0,,
503,photo,3933,0,,
504,Super League,2181,0,,
505,facial recognition,496,0,,
506,offers,2564,0,,
507,billionaires,1027,0,,
508,heavyweight,2434,0,,
509,editors,881,0,,
510,since,35973,0,,
511,ministry,2986,0,,
512,music,3438,0,,
513,tracing,894,0,,
514,Czech Republic,638,0,,
515,ultra,2109,0,,
516,charge,4859,0,,
517,Grand Slam,1978,0,,
518,recognition,2885,0,,
519,phone,6294,0,,
520,industry,5500,0,,
521,meeting,14384,0,,
522,family,17398,0,,
523,transcription,509,0,,
524,led,13673,0,,
525,demand,4345,0,,
526,governments,12210,0,,
527,long,30182,0,,
528,control,14438,0,,
529,whether,20763,0,,
530,ceremony,3799,0,,
531,tweet,6121,0,,
532,doesnt,13452,0,,
533,impeachment,6393,0,,
534,systems,4552,0,,
535,cooperation,2959,0,,
536,words,10019,0,,
537,show,15782,0,,
538,participants,1168,0,,
539,internet,2589,0,,
540,opposition,7988,0,,
541,venture,893,0,,
542,interview,9437,0,,
543,calendar,3353,0,,
544,PRESIDENT DONALD TRUMP,841,0,,
545,view,8950,0,,
546,dignity,1442,0,,
547,Black Lives Matter,2065,0,,
548,twenty,950,0,,
549,founders,753,0,,
550,person,12173,0,,
551,building,8794,0,,
552,opinions,1366,0,,
553,hospitals,3098,0,,
554,money,15944,0,,
555,thousand,1509,0,,
556,questions,8459,0,,
557,order,13729,0,,
558,visit,8583,0,,
559,efforts,10361,0,,
560,stay,9727,0,,
561,holiday,2208,0,,
562,investment,2994,0,,
563,using,11389,0,,
564,spam,120,0,,
565,run,10843,0,,
566,thing,13672,0,,
567,respond,5037,0,,
568,often,12181,0,,
569,leader,15170,0,,
570,indispensable,409,0,,
571,called,39843,0,,
572,less,14176,0,,
573,was cancelled,3973,0,,
574,coronavirus outbreak,21830,0,,
575,novel coronavirus,18391,0,,
576,the US,28212,0,,
577,the United States,71146,0,,
578,scheduled for,15176,0,,
579,due to,32627,0,,
580,on March,22024,0,,
581,takes a,1523,0,,
582,a look at,1337,0,,
583,look at the,2545,0,,
584,a a,2531,0,,
585,in Tel Aviv,1897,0,,
586,companies are,1194,0,,
587,the challenges,1125,0,,
588,one in,2578,0,,
589,safety and,1253,0,,
590,appears to be,2335,0,,
591,But in,2931,0,,
592,look at,6445,0,,
593,the city,6454,0,,
594,the coronavirus,23944,0,,
595,appears to,3971,0,,
596,percent of,7993,0,,
597,for March,7869,0,,
598,I think,24068,0,,
599,was postponed,7904,0,,
600,in the United,11841,0,,
601,you know,10877,0,,
602,to take place,10230,0,,
603,and other,16401,0,,
604,the season,8325,0,,
605,called off,8025,0,,
606,during a,10083,0,,
607,due to be,6969,0,,
608,and the,92106,0,,
609,at the,77411,0,,
610,the company,3808,0,,
611,be postponed,5912,0,,
612,to be,85701,0,,
613,the virus,19577,0,,
614,the UAE,3049,0,,
615,with Israel,4545,0,,
616,on April,10990,0,,
617,tested positive for,9592,0,,
618,according to,21380,0,,
619,was due to,6137,0,,
620,the Israeli,16507,0,,
621,and stories,1637,0,,
622,the Olympic,5038,0,,
623,Israel and,13894,0,,
624,that the,80244,0,,
625,from March,5240,0,,
626,positive for coronavirus,5392,0,,
627,until April,5327,0,,
628,cancelled all,3922,0,,
629,stories that,1870,0,,
630,due to take,3938,0,,
631,suspended until,4051,0,,
632,March has,3951,0,,
633,the Tokyo,4055,0,,
634,found in,4526,0,,
635,to receive,1335,0,,
636,been cancelled,3995,0,,
637,Share this,903,0,,
638,the West Bank,9978,0,,
639,has been,56918,0,,
640,I mean,5894,0,,
641,the FBI,4852,0,,
642,the Labour,1532,0,,
643,ADVERTISEMENT The,896,0,,
644,the president,17404,0,,
645,and free,767,0,,
646,during a protest,1394,0,,
647,to be held,5227,0,,
648,in a,67760,0,,
649,of Israel,13855,0,,
650,with a friend,575,0,,
651,it is,26502,0,,
652,the UK,6929,0,,
653,protest against,1924,0,,
654,is protected by,1149,0,,
655,is a,47992,0,,
656,On March,6520,0,,
657,i i,1715,0,,
658,against the,15651,0,,
659,the pandemic,6378,0,,
660,the UN,6401,0,,
661,A man,2154,0,,
662,it with a,732,0,,
663,on Twitter,6245,0,,
664,on February,4586,0,,
665,site is,1349,0,,
666,Games will,2919,0,,
667,the race,6685,0,,
668,is the,37091,0,,
669,You can,2710,0,,
670,are happening,344,0,,
671,as of,2363,0,,
672,to be played,3008,0,,
673,This article is,958,0,,
674,in the Caribbean,2993,0,,
675,that he,25020,0,,
676,also been,8513,0,,
677,has been suspended,2964,0,,
678,The company,1177,0,,
679,It is,19066,0,,
680,with Italy,2990,0,,
681,becoming a,821,0,,
682,cancelled for,2924,0,,
683,the UFC,965,0,,
684,be interested,640,0,,
685,happening now,327,0,,
686,can provide,675,0,,
687,until September,2976,0,,
688,the hijackers,269,0,,
689,such as,14873,0,,
690,opinion and,313,0,,
691,been called,4185,0,,
692,the Trump,14474,0,,
693,our news,932,0,,
694,kind of,11585,0,,
695,your friends,682,0,,
696,the world,28694,0,,
697,enter a,539,0,,
698,to The Daily,213,0,,
699,And I,6217,0,,
700,the Democratic,8485,0,,
701,in Syria,8441,0,,
702,A woman,2199,0,,
703,This article,1619,0,,
704,scheduled to take,2994,0,,
705,for April,2993,0,,
706,one of Americas,272,0,,
707,a lot of,10429,0,,
708,is available,904,0,,
709,and percent,754,0,,
710,of the coronavirus,6207,0,,
711,take part in,1609,0,,
712,signing up,329,0,,
713,the first,35782,0,,
714,the tournament,3051,0,,
715,a valid,421,0,,
716,The big,349,0,,
717,the box,565,0,,
718,the Jewish,7917,0,,
719,of Americas,1475,0,,
720,of a,54100,0,,
721,by becoming,195,0,,
722,want to,18650,0,,
723,box if you,272,0,,
724,enter a valid,272,0,,
725,Please enter a,272,0,,
726,the box if,272,0,,
727,a valid email,272,0,,
728,and counter,269,0,,
729,the region,10214,0,,
730,start on,3072,0,,
731,and entertainment,238,0,,
732,take place in,4208,0,,
733,the White House,11758,0,,
734,during the,17063,0,,
735,off with,2583,0,,
736,The United States,6729,0,,
737,until March,3093,0,,
738,of Republicans,569,0,,
739,this image,938,0,,
740,he was,22934,0,,
741,companies and,878,0,,
742,a friend,1704,0,,
743,I dont,11803,0,,
744,will be,33150,0,,
745,scheduled to,6046,0,,
746,the Saudi,3818,0,,
747,the Palestinians,7787,0,,
748,had been,22209,0,,
749,sent a,1062,0,,
750,to confirm,649,0,,
751,on Wednesday,4729,0,,
752,created by,1488,0,,
753,of Americans,2363,0,,
754,a statement,9761,0,,
755,of antisemitism,889,0,,
756,the United Arab,1853,0,,
757,this week,7103,0,,
758,cases in,3049,0,,
759,workers and,768,0,,
760,access to,4822,0,,
761,of our,10522,0,,
762,agreed that the,3024,0,,
763,of Democrats,820,0,,
764,with the,69824,0,,
765,from The,833,0,,
766,that matters,1076,0,,
767,represent the,763,0,,
768,in Tokyo,3674,0,,
769,Advertisement The,557,0,,
770,a demonstration,1238,0,,
771,more than,27946,0,,
772,March but,3046,0,,
773,any time,790,0,,
774,you dont,2630,0,,
775,is one of,3473,0,,
776,relations with,2431,0,,
777,email to,466,0,,
778,you do,1625,0,,
779,it with,2016,0,,
780,link to,500,0,,
781,need to know,648,0,,
782,you are,4179,0,,
783,If you dont,314,0,,
784,the deal,4743,0,,
785,the WHO,1652,0,,
786,percent of Americans,363,0,,
787,one of,32946,0,,
788,those who,8139,0,,
789,this year,6475,0,,
790,provide a,1313,0,,
791,at least,20971,0,,
792,to take,22505,0,,
793,here with,356,0,,
794,agreeing to,360,0,,
795,have been,46750,0,,
796,during a demonstration,818,0,,
797,due to the,6725,0,,
798,on May,6422,0,,
799,up you,188,0,,
800,outbreak in,4686,0,,
801,at any time,437,0,,
802,do not,8110,0,,
803,that lived,1242,0,,
804,wish to,744,0,,
805,I was,12397,0,,
806,The US,4419,0,,
807,part in,2847,0,,
